#{"t_start": 1695077831.2413867, "env_id": null}
r,l,t
-165892.332368,56755,110.32254
-166233.046423,56755,215.024117
-166141.818196,56755,325.902848
-166293.083402,56755,436.260008
-165857.996676,56755,540.656734
-166986.475061,56755,653.945449
-165946.077628,56755,759.81759
-166513.410782,56755,865.942896
-165977.120277,56755,971.750055
-166252.009214,56755,1078.313298
